Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","NYM",15.345800399780273,7.612500190734863,22.83609962463379,2.775399690964399,32,32,0,0,,200.5238037109375,800.4940185546875,148.510498046875,67.9198989868164,61.83707809448242,21.41148567199707,51.384498596191406,,6.180600166320801,277.0198059082031,12.433328148751043,2.3062622930910317,5.391116260278848,0.9609999784652135,0.3460610566564501,0.06419098382392342,0.2818700728325267,0.19989866337202067,0.9968641774381183,0.285938561441021,0.7766945565424883,0.4540927661295737,,2.677789512357842,6.585714938892736,,,,,,,,,1215.7318943023681,6.062780935748111,1105.6140203475952,5.513629802980293,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Shane Bieber","CLE",13.29580020904541,8.953700065612793,20.454999923706055,3.302080088354404,30.780000686645508,30.780000686645508,0,0,,194.55670166015625,792.4920043945312,164.32960510253906,77.77120208740234,71.3824234008789,24.989727020263672,47.79679870605469,,6.1545000076293945,245.81739807128906,11.37126896048051,2.211032489160398,5.142967828934325,1.1559999797654485,0.31018281157182787,0.06031202641920878,0.2498707851526191,0.2225058197043406,1.090306332285215,0.2979043709171405,0.758465651926092,0.45999998000664405,,3.166159590557837,5.037089106813038,,,,,,,,,1034.8698766708374,5.319117089466833,977.6979570388794,5.025259724780298,,,,,,,,,,,,,,,,,,,"Shane Bieber","19427",669456
"Luis Castillo","CIN",12.515600204467773,9.307700157165527,18.33650016784668,3.555790160316914,30.780000686645508,30.780000686645508,0,0,,186.8105010986328,781.3070068359375,161.55870056152344,80.71630096435547,73.80654907226562,21.96061134338379,66.90249633789062,,6.836400032043457,226.50559997558594,10.91239725706829,3.223172484950967,3.3856075987302607,1.0579999567909761,0.28990601388929904,0.08562894707526811,0.20427706681403093,0.22832953912397366,1.222956929914718,0.3040677668236599,0.7472568790917603,0.5167416674990656,,3.478841255255048,4.784922208303274,,,,,,,,,924.0240779876709,4.9463176457077305,880.3590688705444,4.7125780600830875,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Gerrit Cole","NYY",14.307000160217285,8.745400428771973,20.163400650024414,3.5709703430125233,32,32,0,0,,201.30990600585938,820.333984375,162.55540466308594,85.66410064697266,79.8746337890625,30.666208267211914,58.247798919677734,,6.406000137329102,262.9530944824219,11.755893673075953,2.604095350687021,4.514386798461306,1.3709999665732993,0.3205439485513475,0.07100498093353508,0.2495389676178124,0.21511137624269186,1.09683228194611,0.2854368360783316,0.7597611397734447,0.38783653684235025,,3.5228283205064637,4.776767177976128,,,,,,,,,1021.7996824264527,5.075754604925959,939.8336143493652,4.668590994831671,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Yu Darvish","SDP",13.49489974975586,8.430100440979004,19.210599899291992,3.4153902359916324,30.780000686645508,30.780000686645508,0,0,,189.2628936767578,775.3499755859375,154.67950439453125,78.01290130615234,71.82295989990234,23.026987075805664,56.96110153198242,,8.65369987487793,235.70950317382812,11.208671110078072,2.7086657285468583,4.138078387432208,1.0950000798159685,0.30400401186019355,0.07346502008842717,0.23053899177176637,0.2179397471365893,1.118236130786285,0.2919133070892109,0.7448472751196886,0.4565021124399108,,3.322328387777415,4.769134488407889,,,,,,,,,989.7213628768922,5.22934709308227,921.5382385253906,4.86909092756072,,,,,,,,,,,,,,,,,,,"Yu Darvish","13074",506433
"Max Scherzer","WSN",12.285900115966797,8.488800048828125,17.497900009155273,3.617989766126118,29.15999984741211,29.15999984741211,0,0,,178.9835968017578,739.906982421875,149.02020263671875,77.13059997558594,71.95120239257812,25.79352569580078,51.93190002441406,,7.666900157928467,231.35569763183594,11.633475446315726,2.611340416504225,4.454982342704036,1.2970000346977446,0.31268213860417815,0.0701870657503863,0.24249507285379185,0.2190480822179052,1.122740330689115,0.2912065887906074,0.7511564324259489,0.3803534337900119,,3.478601159078248,4.706842263926002,,,,,,,,,903.6807181358338,5.048958308379233,843.5171446800232,4.712818156259886,,,,,,,,,,,,,,,,,,,"Max Scherzer","3137",453286
"Brandon Woodruff","MIL",12.273300170898438,9.446000099182129,18.16900062561035,3.512609004289317,30.780000686645508,30.780000686645508,0,0,,184.8813018798828,768.4180297851562,158.2760009765625,78.65670013427734,72.15730285644531,22.843111038208008,57.61980056762695,,8.424200057983398,218.29440307617188,10.62654583080542,2.8049251051118316,3.788531041858867,1.1119999548545065,0.2840828749648226,0.07498496695052431,0.20909790801429828,0.22534432425691203,1.1677535767487008,0.2936300260726157,0.7462075879272935,0.47566707175219175,,3.5078582338567914,4.68125693821385,,,,,,,,,914.0905698776245,4.9442023643446005,865.9028701782227,4.6835610814813435,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Trevor Bauer","LAD",14.017000198364258,8.245100021362305,19.3518009185791,3.664419692148176,30.780000686645508,30.780000686645508,0,0,,195.31629943847656,819.280029296875,166.79220581054688,85.95439910888672,79.52454376220703,26.43280601501465,64.17749786376953,,10.229499816894531,233.9477996826172,10.780104902646816,2.957241573972506,3.6453244122920068,1.2180000072654837,0.2855529139205268,0.07833401958894096,0.20721889433158583,0.22392031759915432,1.1825418786775164,0.2897040124609093,0.7476411735957152,0.42260550065842445,,3.69804304390779,4.574072444391594,,,,,,,,,931.2319730758668,4.767814953248176,877.6296253204346,4.4933762714303445,,,,,,,,,,,,,,,,,,,"Trevor Bauer","12703",545333
"Walker Buehler","LAD",12.868800163269043,7.473199844360352,16.710599899291992,3.517980906960161,29.15999984741211,29.15999984741211,0,0,,172.16909790039062,713.5070190429688,146.860107421875,73.07469940185547,67.29862213134766,21.980255126953125,53.11199951171875,,6.814700126647949,206.41099548339844,10.789967433211318,2.7763867118710404,3.8863344890236236,1.149000015421056,0.2892907707625059,0.07443794958451593,0.21485282117798998,0.22470093278766637,1.1614866394275278,0.29370428701061313,0.7499857873007512,0.4509628261253187,,3.4975220088028154,4.269657636509335,,,,,,,,,854.8997991561889,4.965465984208129,808.1440649032593,4.69389730653532,,,,,,,,,,,,,,,,,,,"Walker Buehler","19374",621111
"Aaron Nola","PHI",12.775500297546387,9.243499755859375,18.46179962158203,3.686040399778398,30.780000686645508,30.780000686645508,0,0,,190.29249572753906,802.9219970703125,168.8386993408203,85.04810333251953,77.93620300292969,23.701988220214844,65.88379669189453,,7.677499771118164,219.43460083007812,10.378293688986993,3.1160144700400747,3.3306307749121333,1.1210000329564351,0.2732950418979019,0.08205504013128319,0.1912400017666187,0.2314886162638559,1.233482671690799,0.2984975604271099,0.7426545906284554,0.4979087560823234,,3.6640629382398586,4.1861695216339445,,,,,,,,,895.8347072601321,4.707672280165944,861.5219440460205,4.527356377098276,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
