group,k,age_lo,age_hi,ratio,n
H,1,0,25,0.977,148
H,1,26,29,0.937,409
H,1,30,33,0.718,370
H,1,34,99,0.568,123
H,2,0,25,0.935,123
H,2,26,29,0.719,364
H,2,30,33,0.541,320
H,2,34,99,0.175,112
H,3,0,25,0.796,108
H,3,26,29,0.674,321
H,3,30,33,0.36,259
H,3,34,99,0.075,100
H,4,0,25,0.849,97
H,4,26,29,0.537,262
H,4,30,33,0.208,216
H,4,34,99,0.022,81
P,1,0,25,0.65,100
P,1,26,29,0.773,511
P,1,30,33,0.75,492
P,1,34,99,0.62,252
P,2,0,25,0.591,89
P,2,26,29,0.668,454
P,2,30,33,0.617,426
P,2,34,99,0.321,217
P,3,0,25,0.517,82
P,3,26,29,0.513,383
P,3,30,33,0.494,370
P,3,34,99,0.242,181
P,4,0,25,0.609,68
P,4,26,29,0.413,320
P,4,30,33,0.371,302
P,4,34,99,0.197,156
