Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Shohei Ohtani",33600,19755,,LAD,Util/SP,$77.52,$75.50,$56,$105,$87.30,98.305
"Aaron Judge",18312,15640,sa549847,NYY,OF,$70.56,$71.00,$40,$88,$68.60,100
"Juan Soto",23717,20123,sa906282,NYM,OF,$66.58,$66.00,$48,$83,$67.30,100
"Bobby Witt Jr.",36668,25764,sa3011225,KCR,SS,$50.93,$50.00,$29,$85,$61.00,100
"Ronald Acuña Jr.",23327,18401,sa877503,ATL,OF,$49.14,$48.00,$22,$70,$55.00,100
"Fernando Tatis Jr.",23682,19709,sa919910,SDP,2B/OF,$48.97,$49.00,$35,$62,$47.50,100
"José Ramírez",18284,13510,sa598784,CLE,3B,$48.15,$49.00,$28,$59,$41.10,100
"Yordan Alvarez",23795,19556,sa943524,HOU,OF,$45.93,$46.00,$31,$62,$48.10,100
"Vladimir Guerrero Jr.",18549,19611,sa920245,TOR,1B,$45.12,$47.00,$21,$63,$33.50,96.61
"Tarik Skubal",35204,22267,sa3007593,LAD,SP,$43.42,$41.00,$28,$65,$53.80,100
"Kyle Tucker",18546,18345,sa874240,LAD,OF,$42.92,$43.00,$25,$58,$35.60,88.136
"Julio Rodriguez",33625,23697,sa3005720,SEA,OF,$41.43,$42.00,$24,$62,$40.10,98.305
"Paul Skenes",43894,33677,sa3023079,PIT,SP,$41.19,$40.00,$26,$63,$51.30,100
"Yoshinobu Yamamoto",44525,33825,sa3023345,LAD,SP,$41.07,$41.00,$26,$59,$41.60,100
"Corbin Carroll",37182,25878,sa3010593,ARI,OF,$37.46,$38.00,$20,$56,$44.20,100
"Gunnar Henderson",37806,26289,sa3011484,BAL,SS,$36.58,$37.00,$15,$62,$41.50,100
"Bryce Harper",14982,11579,sa548033,PHI,1B/OF,$35.36,$34.00,$20,$57,$28.90,100
"Kyle Schwarber",18347,16478,sa709545,PHI,1B/OF,$35.12,$36.00,$19,$48,$43.50,100
"Francisco Lindor",18122,12916,sa597754,NYM,SS,$34.49,$36.00,$18,$50,$24.10,100
"Rafael Devers",18344,17350,sa828312,SFG,1B,$33.59,$35.00,$13,$53,$26.80,100
"Pete Alonso",23859,19251,sa873981,BAL,1B,$32.44,$32.00,$21,$43,$32.60,100
"Matt Olson",18386,14344,sa657863,ATL,1B,$32.32,$33.00,$19,$47,$25.70,100
"Mookie Betts",18276,13611,sa597889,LAD,SS,$30.24,$30.00,$15,$63,$22.90,100
"Logan Webb",21015,17995,sa828873,SFG,SP,$30.07,$30.00,$15,$48,$32.70,100
"Freddie Freeman",5680,5361,sa390291,LAD,1B,$29.76,$28.00,$13,$80,$27.70,100
"Elly De La Cruz",36338,26668,sa3009289,CIN,SS,$29.39,$28.00,$14,$54,$39.50,100
"Ketel Marte",18466,13613,sa597026,ARI,2B,$28.80,$30.00,$8,$42,$32.30,100
"Max Fried",18164,13743,sa657860,NYY,SP,$28.59,$29.00,$14,$43,$28.70,100
"Trea Turner",18368,16252,sa599179,PHI,SS,$28.40,$30.00,$13,$45,$18.70,98.305
"Corey Seager",18216,13624,sa657913,TEX,SS,$28.05,$28.00,$9,$45,$16.70,100
"Framber Valdez",22426,17295,sa873146,DET,SP,$26.81,$27.50,$8,$36,$21.00,88.136
"Dylan Cease",21052,18525,sa829000,TOR,SP,$26.46,$26.00,$15,$41,$26.50,100
"Garrett Crochet",38312,27463,,BOS,SP,$26.00,$24.00,$5,$51,$37.70,100
"Manny Machado",14934,11493,sa548155,SDP,3B,$25.08,$25.00,$12,$56,$17.70,100
