playerid,birthDate
10021,1987-12-26
10028,1991-09-02
10030,1991-08-12
10047,1990-12-10
10058,1990-10-19
10059,1991-03-15
10061,1988-06-29
10066,1991-05-09
10078,1987-01-31
10123,1987-10-23
10133,1988-05-27
10155,1991-08-07
10160,1990-08-12
10197,1990-10-10
10200,1991-01-07
10231,1990-01-05
10233,1988-02-28
10243,1991-08-13
10264,1988-04-20
10291,1987-11-03
10310,1990-05-30
10314,1990-05-02
10315,1989-11-19
10323,1991-05-15
10324,1990-11-12
10337,1992-04-22
10341,1990-09-18
10343,1987-12-19
10348,1992-08-05
10354,1990-10-08
10430,1990-05-13
10441,1991-09-18
10472,1991-08-24
10547,1989-06-05
10556,1990-05-23
10591,1989-07-10
10603,1989-03-30
10642,1990-10-27
10655,1989-07-14
10657,1991-08-05
10681,1991-10-11
10688,1988-09-29
10711,1991-10-29
10732,1990-08-22
10756,1988-11-17
10762,1989-05-22
10815,1993-02-20
10835,1988-10-20
10843,1989-01-14
10855,1990-07-12
10950,1988-09-04
10954,1988-06-19
11038,1990-04-22
11121,1987-10-28
11155,1989-08-21
11156,1988-10-14
11157,1989-07-29
11176,1989-05-11
11189,1992-06-07
11200,1987-10-14
11209,1990-07-13
11281,1989-01-24
11294,1988-11-09
11339,1991-03-30
11341,1989-12-26
11342,1990-06-30
11368,1988-11-08
11379,1992-08-16
11381,1989-05-16
11384,1989-08-07
11423,1989-01-24
11426,1988-11-22
11437,1991-10-22
11442,1992-12-02
11445,1989-02-15
11467,1992-01-05
11470,1992-06-09
11472,1992-02-22
11477,1991-12-05
11486,1991-10-01
11487,1991-11-14
11489,1991-03-26
11490,1992-07-01
11493,1992-07-06
1157,1986-07-03
11579,1992-10-16
11589,1991-09-12
11602,1992-06-29
11609,1992-05-13
11615,1992-08-21
11632,1989-01-13
11674,1991-11-18
11680,1990-11-17
11691,1991-01-09
11694,1991-11-08
11720,1988-08-16
11737,1992-03-04
11739,1991-03-18
11752,1991-08-24
11760,1989-06-13
11762,1992-08-29
11776,1989-11-28
11801,1990-08-13
11804,1989-06-14
11812,1993-02-01
11828,1988-11-06
11836,1992-08-13
11847,1986-06-02
11850,1991-09-06
11861,1991-08-04
11899,1992-04-21
11903,1993-06-28
11905,1992-02-03
12005,1990-06-27
12022,1989-08-28
12037,1990-01-22
12049,1989-12-07
12056,1989-10-31
12095,1990-08-18
12144,1993-02-10
12147,1990-03-15
12155,1991-09-28
12158,1989-12-28
12160,1992-05-17
12161,1992-10-01
12164,1993-05-11
12174,1993-06-04
12178,1991-08-04
12179,1992-08-26
12180,1993-06-11
12249,1990-05-25
12272,1990-04-27
12282,1994-02-03
12304,1989-02-22
12317,1990-07-01
12323,1990-04-14
12325,1990-05-09
12361,1988-02-20
12434,1989-01-04
12447,1989-11-17
1246,1986-02-08
1247,1985-11-22
12499,1988-12-30
12510,1988-11-09
12532,1990-10-10
12533,1990-09-17
12546,1990-01-05
12547,1989-08-31
12552,1991-07-18
12564,1992-11-15
12572,1988-06-30
12575,1989-08-01
12649,1990-05-26
12664,1990-07-02
12673,1988-08-01
12699,1990-08-22
12703,1991-01-17
12718,1993-02-02
12730,1990-08-05
12760,1990-10-17
12763,1990-11-13
12768,1989-11-07
12775,1989-10-18
12777,1990-05-30
12784,1990-04-12
12790,1992-12-04
12791,1992-09-06
12800,1989-12-22
12804,1992-09-12
12808,1990-12-21
12828,1990-03-17
12856,1989-09-19
12857,1990-09-11
12859,1990-06-13
12861,1990-06-06
12863,1990-06-17
12880,1989-12-30
12890,1992-01-31
12907,1991-09-14
12910,1990-09-20
12916,1993-11-14
12917,1992-11-15
12918,1992-08-10
12927,1993-03-27
12937,1992-12-12
12970,1992-12-04
12972,1993-05-21
12976,1992-08-18
12977,1992-08-07
12979,1992-12-01
12981,1992-12-06
12984,1990-04-19
12988,1990-06-17
12997,1992-10-29
13046,1981-02-21
13050,1990-04-18
13066,1992-10-15
13074,1986-08-16
13075,1982-01-05
13125,1990-09-08
13133,1990-09-14
13145,1992-08-14
13151,1992-09-19
13152,1993-07-05
13164,1993-04-07
13182,1992-11-30
13183,1993-02-07
13185,1994-08-04
13190,1992-11-07
13218,1993-03-15
13259,1990-04-23
13265,1991-03-25
13273,1989-11-23
13276,1991-07-23
13287,1989-07-30
13293,1989-10-26
13301,1990-08-25
13324,1991-07-16
13329,1990-10-09
13331,1990-10-14
13338,1992-02-10
13339,1991-10-07
13345,1992-04-25
13346,1991-01-13
13355,1991-02-06
13359,1991-04-24
13361,1991-05-29
13367,1991-01-14
13369,1991-08-31
13394,1990-12-27
13397,1990-11-14
13403,1990-02-25
13419,1991-03-28
13420,1990-11-02
13424,1990-10-22
13431,1991-05-01
13435,1991-05-10
13442,1991-05-03
13449,1990-12-17
13470,1994-05-10
13475,1993-04-25
13483,1991-10-01
13499,1991-04-03
13510,1992-09-17
13528,1991-05-31
13543,1992-12-04
13546,1993-05-14
13549,1990-03-04
13580,1991-07-09
13590,1993-08-17
13594,1993-02-24
13602,1991-08-27
13607,1991-09-03
13611,1992-10-07
13613,1993-10-12
13619,1992-09-16
13620,1994-07-14
13621,1993-11-24
13624,1994-04-27
13633,1990-07-06
13649,1993-03-27
13652,1992-06-01
13654,1992-01-19
13663,1992-12-16
13675,1994-01-22
13684,1992-08-06
13690,1993-10-12
13696,1993-07-18
13699,1993-07-30
13707,1992-12-20
13713,1990-05-23
13723,1989-12-22
13743,1994-01-18
13744,1994-04-01
13750,1994-11-21
13755,1994-04-12
13757,1990-08-29
13758,1990-12-27
13761,1990-08-22
13763,1991-10-26
13764,1995-02-07
13767,1990-12-03
13768,1991-06-15
