TeamID,"Team Name","ottoneu ID","FG MajorLeagueID","FG MinorLeagueID",Name,"MLB Team",Position(s),Salary
8906,"Providence Grays",21052,18525,sa829000,"Dylan Cease",TOR,SP,$32
8906,"Providence Grays",18466,13613,sa597026,"Ketel Marte",ARI,2B,$29
8906,"Providence Grays",5680,5361,sa390291,"Freddie Freeman",LAD,1B,$27
8906,"Providence Grays",18113,12768,sa455516,"Sonny Gray",BOS,SP,$26
8906,"Providence Grays",14393,10603,sa392121,"Chris Sale",ATL,SP,$25
8906,"Providence Grays",18236,14374,sa597835,"Tyler Glasnow",LAD,SP,$23
8906,"Providence Grays",23767,19612,sa917949,"Bo Bichette",NYM,SS/3B,$21
8906,"Providence Grays",33685,24617,sa3006786,"Jarren Duran",BOS,OF,$20
8906,"Providence Grays",14294,10954,sa548447,"Jacob DeGrom",TEX,SP,$19
8906,"Providence Grays",38736,27498,sa3015059,"Spencer Strider",ATL,SP,$15
8906,"Providence Grays",35196,21390,sa3007584,"Joe Ryan","MIN ST",SP,$14
8906,"Providence Grays",23831,20036,sa920275,"Isaac Paredes",HOU,1B/3B,$11
8906,"Providence Grays",18407,15986,sa736655,"Willy Adames",SFG,SS,$9
8906,"Providence Grays",38388,27467,sa3014489,"Tyler Soderstrom",ATH,1B/OF,$7
8906,"Providence Grays",18465,15440,sa621603,"Matthew Boyd",CHC,SP,$6
8906,"Providence Grays",18124,12856,sa526414,"George Springer",TOR,OF,$6
8906,"Providence Grays",37480,26151,sa1115829,"Kyle Stowers",MIA,1B/OF,$5
8906,"Providence Grays",18160,14162,sa657850,"Carlos Correa",HOU,SS/3B,$5
8906,"Providence Grays",23833,19918,sa3002838,"Daulton Varsho",HOU,OF,$4
8906,"Providence Grays",33612,24492,sa3008130,"Grayson Rodriguez",LAA,SP,$4
8906,"Providence Grays",37942,26389,sa3011680,"DJ Herz",WSN,SP/RP,$4
8906,"Providence Grays",23701,12447,sa599698,"Seth Lugo",KCR,SP,$3
8906,"Providence Grays",35367,22543,sa3007839,"Taj Bradley",MIN,SP,$3
8906,"Providence Grays",40854,30109,sa3017917,"Nate Lavender",NYM,RP,$2
8906,"Providence Grays",42169,31370,sa3019868,"Jakob Marsee",MIA,OF,$2
8906,"Providence Grays",37235,27581,sa3010617,"Hayden Wesneski",HOU,SP,$2
8906,"Providence Grays",35677,21623,sa3008313,"Grant Wolfram",BAL,RP,$2
8906,"Providence Grays",18364,17432,sa709602,"Jeff Hoffman",MIN,RP,$2
8906,"Providence Grays",22527,20997,sa873313,"Eduard Bazardo",SEA,RP,$2
8906,"Providence Grays",20291,19858,sa826671,"Luis Rengifo",SDP,2B/3B/OF,$2
8906,"Providence Grays",18153,12564,sa597765,"Trevor Story",BOS,SS,$2
8906,"Providence Grays",40520,29780,sa3017374,"Joe Mack",MIA,C,$2
8906,"Providence Grays",41258,,sa3018507,"Jesús  Báez","STL AA",SS/3B,$1
8906,"Providence Grays",45708,34979,sa3025168,"Christian Moore",LAA,2B/3B,$1
8906,"Providence Grays",46280,,sa3041559,"Jonathan Santucci","NYM AAA",SP,$1
8906,"Providence Grays",47646,,sa3030726,"Joseph Dzierwa","BAL AA",SP,$1
8906,"Providence Grays",39400,29189,sa3015828,"Hector Rodriguez",CIN,OF,$1
8906,"Providence Grays",44046,33312,sa3022603,"Brett Bateman",TOR,OF,$1
8906,"Providence Grays",40472,29770,sa3017306,"Mason Montgomery",PIT,SP/RP,$1
8906,"Providence Grays",39287,,sa3015715,"Manuel Pena","ARI AAA",1B/OF,$1
8906,"Providence Grays",23660,19343,sa738675,"A.J. Puk",ARI,RP,$1
8906,"Providence Grays",36808,21520,sa3009982,"Hogan Harris",ATH,RP,$1
8906,"Providence Grays",34601,21454,sa3006649,"Lars Nootbaar",ARI,OF,$1
8906,"Providence Grays",34583,24574,sa3006622,"Eduardo Valencia",DET,C/1B,$1
8906,"Providence Grays",33049,20023,sa918679,"Rico Garcia",BAL,RP,$1
8906,"Providence Grays",32576,19955,sa917933,"Gavin Lux",TBR,2B/3B/OF,$1
8906,"Providence Grays",47899,,sa3044552,"Mitch Voit","NYM AA",2B/SS,$1
8907,"Rock the Casasbah",23327,18401,sa877503,"Ronald Acuña Jr.",ATL,OF,$61
8907,"Rock the Casasbah",18284,13510,sa598784,"José Ramírez",CLE,3B,$50
8907,"Rock the Casasbah",44525,33825,sa3023345,"Yoshinobu Yamamoto",LAD,SP,$47
8907,"Rock the Casasbah",18549,19611,sa920245,"Vladimir Guerrero Jr.",TOR,1B,$42
8907,"Rock the Casasbah",43894,33677,sa3023079,"Paul Skenes",PIT,SP,$41
8907,"Rock the Casasbah",18122,12916,sa597754,"Francisco Lindor",NYM,SS,$31
8907,"Rock the Casasbah",14982,11579,sa548033,"Bryce Harper",PHI,1B/OF,$28
8907,"Rock the Casasbah",14893,11477,sa548190,"Christian Yelich",MIL,OF,$26
8907,"Rock the Casasbah",18164,13743,sa657860,"Max Fried",NYY,SP,$26
8907,"Rock the Casasbah",18216,13624,sa657913,"Corey Seager",TEX,SS,$25
8907,"Rock the Casasbah",19168,18679,sa737343,"Freddy Peralta",TBR,SP,$22
8907,"Rock the Casasbah",18359,16137,sa598286,"Carlos Rodon",NYY,SP,$21
8907,"Rock the Casasbah",18480,17678,sa659419,"Alex Bregman",CHC,3B,$17
8907,"Rock the Casasbah",18196,14107,sa548347,"Kevin Gausman",CHC,SP,$16
8907,"Rock the Casasbah",18391,14212,sa658473,"Josh Hader",HOU,RP,$13
8907,"Rock the Casasbah",33647,21483,sa3008547,"Shane McClanahan",TBR,SP,$11
8907,"Rock the Casasbah",22048,17548,sa858832,"Taylor Ward",SEA,OF,$11
8907,"Rock the Casasbah",23813,19361,sa873673,"Corbin Burnes",ARI,SP,$7
8907,"Rock the Casasbah",42712,31807,sa3020652,"Troy Melton",DET,SP/RP,$7
8907,"Rock the Casasbah",38754,27867,sa3015086,"Cade Smith",CLE,RP,$7
8907,"Rock the Casasbah",38374,27899,sa3014474,"Colt Keith",DET,1B/2B/3B,$6
8907,"Rock the Casasbah",23693,16162,sa597893,"Brandon Woodruff",MIL,SP,$6
8907,"Rock the Casasbah",23780,20043,sa3003396,"Luis Robert Jr.",BAL,OF,$5
8907,"Rock the Casasbah",20989,17722,sa828803,"Trevor Megill",MIL,RP,$5
8907,"Rock the Casasbah",20545,18568,sa828153,"Luis Arraez",PHI,1B/2B,$5
8907,"Rock the Casasbah",40861,30113,sa3017933,"Chad Patrick",MIL,SP/RP,$4
8907,"Rock the Casasbah",37427,26121,sa3010862,"Francisco Alvarez",NYM,C,$4
8907,"Rock the Casasbah",34817,24598,sa3006910,"Addison Barger",TOR,3B/OF,$4
8907,"Rock the Casasbah",21708,17338,sa830274,"Willi Castro",COL,1B/2B/SS/3B/OF,$3
8907,"Rock the Casasbah",42765,31986,sa3020748,"Parker Messick",CLE,SP,$3
8907,"Rock the Casasbah",42176,32127,sa3021053,"Chase DeLauter",CLE,OF,$3
8907,"Rock the Casasbah",33669,21537,sa3007588,"Daniel Lynch IV",KCR,SP/RP,$3
8907,"Rock the Casasbah",33622,21501,sa3008376,"Trevor Larnach",MIN,OF,$3
8907,"Rock the Casasbah",23856,14551,sa659463,"Anthony Santander",TOR,OF,$2
8907,"Rock the Casasbah",40748,30011,sa3017756,"Christian Encarnacion-Strand",BAL,1B/3B,$2
8907,"Rock the Casasbah",38389,27790,sa3014490,"Evan Carter",TEX,OF,$2
8907,"Rock the Casasbah",38328,27468,sa3014425,"Reid Detmers",LAA,SP/RP,$2
8907,"Rock the Casasbah",37320,26031,sa3010711,"Vaughn Grissom",LAA,1B/2B/SS/3B,$2
8907,"Rock the Casasbah",36769,25483,sa1169919,"Nick Sogard",BOS,1B/2B/SS/3B,$2
8907,"Rock the Casasbah",38403,27572,sa3014505,"Carmen Mlodzinski",PIT,SP/RP,$1
8907,"Rock the Casasbah",40807,30063,sa3017851,"Tristan Peters",CHW,OF,$1
8907,"Rock the Casasbah",26134,22664,sa3003226,"Gabriel Moreno",ARI,C,$1
8907,"Rock the Casasbah",33672,23550,sa3007225,"Aaron Ashby",MIL,RP,$1
8907,"Rock the Casasbah",32804,20000,sa918346,"Tyler Wells",TBR,SP/RP,$1
8918,"Chin Music Choir",38327,27769,sa3014458,"Pete Crow-Armstrong",CHC,OF,$14
8918,"Chin Music Choir",31751,19853,sa874220,"Michael King",SDP,SP,$10
8918,"Chin Music Choir",48239,37123,sa3063134,"Kazuma Okamoto",TOR,1B/3B,$10
8918,"Chin Music Choir",27058,23772,sa3005082,"Wilyer Abreu",BOS,OF,$8
8918,"Chin Music Choir",43895,33876,sa3023360,"Rhett Lowder",CIN,SP,$7
8918,"Chin Music Choir",42310,31461,sa3020078,"Ben Joyce",LAA,RP,$7
8918,"Chin Music Choir",26099,20599,sa3003191,"Ivan Herrera",STL,C,$7
8918,"Chin Music Choir",18357,16149,sa599230,"Aaron Nola",PHI,SP,$7
8918,"Chin Music Choir",38339,27889,sa3014428,"J.T. Ginn",ATH,SP/RP,$6
8918,"Chin Music Choir",42146,31595,sa3019973,"Brooks Lee",MIN,2B/SS/3B,$6
8918,"Chin Music Choir",40829,30091,sa3017880,"Andrew Painter",PHI,SP,$6
8918,"Chin Music Choir",45790,35456,sa3045705,"Trey Yesavage",TOR,SP,$6
8918,"Chin Music Choir",26570,19608,sa3004268,"Otto Lopez",MIA,2B/SS,$5
8918,"Chin Music Choir",34132,24453,sa3005864,"Justin Martinez",ARI,RP,$5
8918,"Chin Music Choir",35725,23986,sa3008392,"Curtis Mead",BOS,1B/2B/3B,$5
8918,"Chin Music Choir",38398,27815,sa3014499,"Jordan Westburg",BAL,2B/3B,$5
8918,"Chin Music Choir",45018,,sa3023987,"Rainiel Rodriguez","STL AA",C/1B,$5
8918,"Chin Music Choir",13335,13164,sa548722,"Eduardo Rodriguez",ARI,SP,$4
8918,"Chin Music Choir",31505,21306,sa829008,"Jacob Latz",TEX,SP/RP,$4
8918,"Chin Music Choir",43949,33549,sa3022886,"Kyle Teel",CHW,C,$4
8918,"Chin Music Choir",44003,33266,sa3022538,"Jacob Wilson",ATH,SS,$4
8918,"Chin Music Choir",42728,31967,sa3020678,"Drew Thorpe",CHW,SP/RP,$3
8918,"Chin Music Choir",45715,,sa3025257,"Charlie Condon","COL AAA",1B/OF,$3
8918,"Chin Music Choir",40972,30182,sa3018149,"Will Warren",NYY,SP,$3
8918,"Chin Music Choir",44336,33703,sa3023053,"Nolan McLean",NYM,SP,$3
8918,"Chin Music Choir",38320,27465,sa3014504,"Spencer Torkelson",DET,1B,$3
8918,"Chin Music Choir",18375,16944,sa828669,"Grant Holmes",ATL,SP,$3
8918,"Chin Music Choir",18380,16918,sa599729,"Luke Weaver",PIT,RP,$3
8918,"Chin Music Choir",37635,28080,sa3014696,"Jasson Dominguez",NYY,OF,$3
8918,"Chin Music Choir",23672,20039,sa969093,"Adrian Morejon",SDP,RP,$3
8918,"Chin Music Choir",33684,20387,sa738470,"Anthony Kay",CHW,SP,$3
8918,"Chin Music Choir",46343,,sa3067674,"Elian Peña","NYM A+",SS,$2
8918,"Chin Music Choir",45947,35177,sa3025452,"Carson Benge",NYM,OF,$2
8918,"Chin Music Choir",31703,19470,sa873704,"Tommy Edman",LAD,2B/3B/OF,$2
8918,"Chin Music Choir",43129,,sa3021208,"Eduardo Quintero","LAD A+",OF,$2
8918,"Chin Music Choir",38314,27490,sa3014510,"Nick Gonzales",PIT,2B/SS/3B,$2
8918,"Chin Music Choir",47914,,sa3045282,"Dixon Williams","ATL AA",1B/2B/OF,$1
8918,"Chin Music Choir",47657,,sa3031366,"Andrew Fischer","MIL AA",1B/3B,$1
8918,"Chin Music Choir",47555,,sa3069247,"Seth Hernandez","PIT A+",SP,$1
8918,"Chin Music Choir",42716,,sa3020659,"Karson Milbrandt","MIA AAA",SP,$1
8918,"Chin Music Choir",40147,29596,sa3017022,"Joshua Baez",STL,OF,$1
8918,"Chin Music Choir",34921,21622,sa3007015,"Jake McCarthy",COL,OF,$1
8918,"Chin Music Choir",44918,,sa3023887,"Emil Morales","LAD A+",SS,$1
8921,"Iron ",33625,23697,sa3005720,"Julio Rodriguez",SEA,OF,$45
8921,"Iron ",36671,25436,sa3011526,"George Kirby",SEA,SP,$23
8921,"Iron ",41042,30279,sa3018290,"Bryan Woo",SEA,SP,$22
8921,"Iron ",36509,25976,sa3010694,"Riley Greene",DET,OF,$15
8921,"Iron ",40862,31757,sa3017934,"Mason Miller",SDP,RP,$14
8921,"Iron ",22655,18839,sa874243,"Josh Naylor",SEA,1B,$13
