playerid,PlayerName,Team,G,GS,IP,SV,HLD,FPTS,SPTS,xMLBAMID
22267,Tarik Skubal,LAD,32,32,199.765,0,0,1153.6,1073,669373
33677,Paul Skenes,PIT,32,32,193.982,0,0,1100.4,1033,694973
27463,Garrett Crochet,BOS,32,32,192.855,0,0,1093.7,1028,676979
20778,Cristopher Sánchez,PHI,32,32,198.055,0,0,976,964,650911
10603,Chris Sale,ATL,27.54,27.54,168.535,0,0,918.2,864,519242
17995,Logan Webb,SFG,32,32,199.392,0,0,974.1000000000003,989,657277
21846,Cole Ragans,KCR,29.16,29.16,172.018,0,0,893.0999999999999,831,666142
10954,Jacob deGrom,TEX,29.16,29.16,174.797,0,0,873,834,594798
12768,Sonny Gray,BOS,30.78,30.78,181.357,0,0,854.5000000000001,850,543243
18525,Dylan Cease,TOR,30.78,30.78,177.809,0,0,876.5000000000001,822,656302
17295,Framber Valdez,DET,30.78,30.78,190.384,0,0,883.2,884,664285
10310,Zack Wheeler,PHI,25.92,25.92,154.827,0,0,808.1999999999999,759,554430
13743,Max Fried,NYY,30.78,30.78,189.434,0,0,884.3000000000001,875,608331
25880,Hunter Brown,HOU,30.78,30.78,184.176,0,0,870.3000000000002,843,686613
19959,Jesús Luzardo,PHI,30.78,30.78,180.975,0,0,850.1,813,666200
33825,Yoshinobu Yamamoto,LAD,25.92,25.92,154.428,0,0,739.1000000000003,719,808967
9132,Nathan Eovaldi,TEX,29.16,29.16,174.547,0,0,795.7,790,543135
21390,Joe Ryan,MIN,29.16,29.16,172.8,0,0,797.7,768,657746
30279,Bryan Woo,SEA,32,32,195.095,0,0,901.6,873,693433
17277,Ranger Suarez,BOS,29.16,29.16,171.504,0,0,750.3999999999999,767,624133
25385,Drew Rasmussen,TBR,30.78,30.78,171.003,0,0,774.3000000000001,777,656876
21483,Shane McClanahan,TBR,24.3,24.3,142.175,0,0,712.2,680,663556
22250,Logan Gilbert,SEA,29.16,29.16,166.486,0,0,824.7000000000002,786,669302
25436,George Kirby,SEA,30.78,30.78,178.218,0,0,839.9999999999999,829,669923
16162,Brandon Woodruff,MIL,27.54,27.54,167.715,0,0,748.4,721,605540
24586,Kyle Bradish,BAL,27.54,27.54,154.145,0,0,710,697,680694
22100,José Soriano,TOR,30.78,30.78,177.273,0,0,763.9,768,667755
16149,Aaron Nola,PHI,30.78,30.78,180.677,0,0,758.2000000000002,758,605400
14107,Kevin Gausman,CHC,30.78,30.78,185.401,0,0,788.9,785,592332
19853,Michael King,SDP,29.16,29.16,166.513,0,0,726.1999999999998,700,650633
14374,Tyler Glasnow,LAD,24.3,24.3,141.168,0,0,684.3000000000001,646,607192
18679,Freddy Peralta,TBR,29.16,29.16,168.291,0,0,758.1999999999999,714,642547
22201,MacKenzie Gore,TEX,29.16,29.16,161.264,0,0,726.9000000000001,695,669022
15454,Nick Pivetta,SDP,29.16,29.16,174.053,0,0,756.9,726,601713
27768,Eury Pérez,MIA,27.54,27.54,154.035,0,0,683,649,691587
17479,Jack Flaherty,DET,29.16,29.16,163.146,0,0,722.5000000000001,704,656427
20633,Yusei Kikuchi,LAA,30.78,30.78,177.726,0,0,725.8000000000001,712,579328
19755,Shohei Ohtani,LAD,22.68,22.68,116.914,0,0,575.5000000000002,539,660271
13543,Blake Snell,LAD,22.68,22.68,126.988,0,0,619.9000000000002,575,605483
18684,Sandy Alcantara,MIA,30.78,30.78,186.581,0,0,743.1999999999998,773,645261
27498,Spencer Strider,ATL,25.92,25.92,151.384,0,0,699.8000000000001,664,675911
29839,Emmet Sheehan,LAD,44.3,24.3,157.144,0,0.7772,694.7,658,686218
26378,Nick Lodolo,CIN,27.54,27.54,157.14,0,0,642.5000000000001,637,666157
17920,Cody Ponce,TOR,43.68,22.68,154.812,0,0.6494,681.9,684,664074
15689,Luis Castillo,CHW,30.78,30.78,181.473,0,0,757.3000000000001,750,622491
11156,Merrill Kelly,ARI,29.16,29.16,172.667,0,0,701.8,721,518876
25377,Brady Singer,CIN,30.78,30.78,178.185,0,0,650.6999999999999,670,663903
30134,Tanner Bibee,CLE,30.78,30.78,182.086,0,0,724,724,676440
16137,Carlos Rodón,NYY,27.54,27.54,161.648,0,0,696.1000000000001,663,607074
35333,Chase Burns,CIN,27.44,19.44,114.246,0,0.6526,530.8,506,695505
17594,Mitch Keller,PIT,30.78,30.78,179.816,0,0,692.8999999999999,718,656605
26221,Ryan Pepiot,TBR,27.54,27.54,156.361,0,0,658.2000000000002,635,686752
15440,Matthew Boyd,CHC,29.16,29.16,173.75,0,0,701.0000000000001,693,571510
21455,Kris Bubic,LAD,34.3,24.3,149.332,0,0.663,624.4000000000001,626,663460
20302,David Peterson,CHC,29.16,29.16,169.662,0,0,706.1000000000001,710,656849
27473,Cade Cavalli,WSN,25.92,25.92,155.867,0,0,620.9000000000001,635,676917
12970,Joe Musgrove,SDP,25.92,25.92,149.573,0,0,632.6,633,605397
19291,Zac Gallen,ARI,30.78,30.78,183.879,0,0,748.1000000000003,774,668678
20492,Casey Mize,SDP,27.54,27.54,150.592,0,0,609.0000000000001,620,663554
24492,Grayson Rodriguez,LAA,21.06,21.06,119.685,0,0,537.1,522,680570
29911,Andrew Abbott,CIN,29.16,29.16,170.317,0,0,586.2,594,671096
33703,Nolan McLean,NYM,25.92,25.92,149.04,0,0,645.9000000000001,634,690997
22286,Trevor Rogers,BAL,27.54,27.54,158.822,0,0,604.6000000000001,625,669432
16432,Foster Griffin,CLE,34.68,22.68,141.276,0,0.6466,572.7,589,656492
19427,Shane Bieber,TOR,31.44,19.44,123.834,0,0.6494,553.4999999999999,560,669456
21224,Bailey Ober,MIN,27.54,27.54,159.594,0,0,590.9,604,641927
13361,Steven Matz,TBR,34.68,22.68,137.556,0,0.6682,550.2,560,571927
13125,Gerrit Cole,NYY,22.68,22.68,134.18,0,0,567.8,552,543037
30122,Gavin Williams,CLE,30.78,30.78,177.33,0,0,719.1000000000001,702,668909
27468,Reid Detmers,LAA,36.3,24.3,150.721,0,0.6516,642.2,622,672282
33829,Shota Imanaga,CHC,25.92,25.92,154.982,0,0,587.7,592,684007
35456,Trey Yesavage,TOR,35.06,21.06,132.524,0,0.6494,614.0000000000001,580,702056
12304,Chris Bassitt,BAL,37.16,29.16,179.374,0,0.6611,676.0000000000001,695,605135
21690,Edward Cabrera,CHC,25.92,25.92,142.261,0,0,618.5,596,665795
14078,Michael Wacha,KCR,29.16,29.16,170.047,0,0,582.6,614,608379
27474,Max Meyer,MIA,34.3,24.3,149.11,0,0.6373,605.3000000000001,614,676974
13649,Clay Holmes,CHC,27.54,27.54,153.997,0,0,619.8000000000001,633,605280
16400,Reynaldo López,ATL,34.3,24.3,150.047,0,0.646,646.6999999999999,640,625643
21844,Braxton Garrett,CHC,27.44,19.44,116.888,0,0.6373,492.40000000000015,506,666129
29868,Bubba Chandler,PIT,37.92,25.92,162.414,0,0.6537,616.7,624,696149
22543,Taj Bradley,MIN,36.3,24.3,145.429,0,0.6406,580,582,671737
22264,Shane Baz,BAL,27.54,27.54,158.884,0,0,612.9000000000001,613,669358
23920,Brayan Bello,BOS,27.54,27.54,156.091,0,0,577.6000000000001,617,678394
27782,Brandon Pfaadt,ARI,29.16,29.16,164.052,0,0,634.7000000000003,667,694297
31687,Shane Smith,CHW,29.16,29.16,168.339,0,0,609.8,611,681343
15890,Luis Severino,ATH,29.16,29.16,172.823,0,0,593.9000000000001,624,622663
17677,Jeffrey Springs,ATH,29.16,29.16,166.053,0,0,554.0000000000001,578,605488
37124,Tatsuya Imai,HOU,25.92,25.92,152.928,0,0,579.2,588,837227
12447,Seth Lugo,KCR,27.54,27.54,161.288,0,0,570.3000000000002,602,607625
27863,Jared Jones,PIT,23.82,17.82,106.921,0,0.6537,486.7000000000001,473,683003
23793,Braxton Ashcraft,PIT,44.68,22.68,145.481,0,0.6537,574.3,594,677952
24728,Mike Burrows,HOU,33.92,25.92,146.237,0,0.6558,578.1000000000001,577,681347
8700,Justin Verlander,DET,25.92,25.92,143.292,0,0,520.7,532,434378
11486,Robbie Ray,SDP,30.78,30.78,179.798,0,0,726,710,592662
31838,Kodai Senga,NYM,34.68,22.68,137.378,0,0.7173,580.0000000000002,565,673540
22182,Hunter Greene,CIN,14.58,14.58,82.5557,0,0,371.30000000000007,345,668881
31843,Kumar Rocker,TEX,38.68,22.68,137.846,0,0.6435,540,555,677958
20387,Anthony Kay,CHW,41.06,21.06,140.042,0,0.5969,518.8000000000001,546,641743
32095,Cam Schlittler,NYY,22.68,22.68,126.418,0,0,511.40000000000015,502,693645
13774,Zach Eflin,BAL,35.92,25.92,155.909,0,0.6611,571,614,621107
19716,Dustin May,MIL,35.92,25.92,161.221,0,0.6663,632.8000000000001,638,669160
30146,Jack Leiter,TEX,27.54,27.54,149.683,0,0,550.2,544,683004
30184,Noah Cameron,KCR,25.92,25.92,148.366,0,0,532.6,556,702070
26253,Ryne Nelson,ARI,37.54,27.54,163.823,0,0.6469,620.6,651,669194
13164,Eduardo Rodriguez,ARI,30.68,22.68,133.511,0,0.6469,513.8,528,593958
31623,Jacob Misiorowski,MIL,32.3,24.3,142.852,0,0.621,590.1,556,694819
31757,Mason Miller,SDP,66,0,66,31.614,1.9856,605.0000000000001,549,695243
16256,Kyle Freeland,COL,29.16,29.16,167.643,0,0,486.6,576,607536
35323,Roki Sasaki,LAD,39.82,17.82,119.392,0,0.7772,476.4999999999999,482,808963
15873,Sean Manaea,NYM,47.82,17.82,126.517,0,0.7173,561.9000000000001,539,640455
15823,Zack Littell,,25.92,25.92,151.675,0,0,505.09999999999997,544,641793
31827,Zebby Matthews,MIN,34.2,16.2,105.339,0,0.6406,439.7,445,805673
24494,Simeon Woods Richardson,SEA,35.92,25.92,149.778,0,0.6406,538,550,680573
11674,Jameson Taillon,TOR,25.92,25.92,147.036,0,0,502.19999999999993,533,592791
25098,Jacob Lopez,ATH,22.68,22.68,124.034,0,0,458.89999999999986,447,682052
31986,Parker Messick,CLE,24.3,24.3,138.391,0,0,530.2,540,800048
30182,Will Warren,NYY,43.06,21.06,133.902,0,0.691,550,546,701542
16944,Grant Holmes,ATL,36.3,24.3,147.187,0,0.646,583.6999999999999,592,656550
23335,Joey Cantillo,CLE,54.06,21.06,148.827,0,0.679,618.5000000000001,596,676282
16358,Tyler Mahle,ATL,25.92,25.92,147.981,0,0,572.4000000000001,588,641816
23796,Ryan Weathers,NYY,37.44,19.44,124.313,0,0.691,516.4999999999999,506,677960
29837,Bryce Miller,SEA,25.92,25.92,143.442,0,0,536.2,539,682243
31846,Spencer Schwellenbach,ATL,12.96,12.96,76.8974,0,0,356.3,355,680885
12730,Nick Martinez,TBR,47.06,21.06,144.26,0,0.6682,514.3000000000002,544,607259
30113,Chad Patrick,MIL,25.92,25.92,147.977,0,0,517.3000000000001,519,694477
29869,Michael McGreevy,STL,30.68,22.68,137.373,0,0.6663,507.80000000000024,550,700241
21448,Davis Martin,CHW,27.54,27.54,159.071,0,0,506.2000000000001,542,663436
3137,Max Scherzer,TOR,37.82,17.82,117.348,0,0.6494,463.8000000000002,455,453286
17312,Justin Steele,CHC,14.58,14.58,82.9657,0,0,368.40000000000003,365,657006
22294,Matthew Liberatore,STL,27.54,27.54,157.409,0,0,573.5,598,669461
26108,Andre Pallante,STL,24.3,24.3,136.298,0,0,485.5000000000001,527,669467
19479,Aaron Civale,CHC,24.3,24.3,133.718,0,0,448.1999999999999,470,650644
25977,Quinn Priester,MIL,21.06,21.06,117.271,0,0,436.60000000000014,458,682990
33666,Connelly Early,WSN,31.72,9.72,76.6379,0,0.676,351.4000000000001,343,813349
33927,Grant Taylor,CHW,79.24,3.24,93.7429,4.855,15.0731,553.8,524,691799
31893,Robby Snelling,MIA,17.82,17.82,101.574,0,0,395.6,405,702281
31872,Cade Horton,CHC,24.3,24.3,134.044,0,0,495.6999999999999,504,690990
21029,Jhoan Duran,PHI,70,0,70,28.61,3.1262,555.9,530,661395
14120,Lance McCullers Jr.,,37.44,19.44,120.459,0,0.6558,451.9,455,621121
31475,Logan Henderson,MIL,30.58,14.58,98.0805,0,0.621,387.80000000000007,378,701656
20253,Griffin Jax,TBR,68,0,68,12.19,11.5346,500.0000000000001,473,643377
20099,Chris Paddack,TEX,36.68,22.68,137.779,0,0.6373,470,503,663978
33876,Rhett Lowder,CIN,31.06,21.06,129.177,0,0.6526,428.29999999999984,459,695076
27500,Slade Cecconi,CLE,27.54,27.54,157.398,0,0,535.6,567,677944
9803,Miles Mikolas,,25.92,25.92,143.073,0,0,447.50000000000006,499,571945
14710,Edwin Díaz,LAD,66,0,66,35.779,2.9595,570.5000000000001,532,621242
22487,Johan Oviedo,BOS,51.34,11.34,102.22,0,0.676,410.7000000000001,409,670912
30076,Landen Roupp,SFG,32.68,22.68,131.902,0,0.6766,536.5000000000002,542,694738
27889,J.T. Ginn,ATH,43.72,9.72,86.4178,0,0.6364,365.59999999999997,368,669372
19447,Patrick Sandoval,BOS,41.72,9.72,85.726,0,0.676,378.0999999999999,376,663776
12718,Adrian Houser,SFG,25.92,25.92,147.313,0,0,513.8999999999999,560,605288
14843,Michael Lorenzen,TOR,25.92,25.92,148.909,0,0,419.90000000000015,479,547179
27932,Ian Seymour,TBR,44.58,14.58,112.188,0,0.6682,457.0000000000002,450,693855
14168,José Berríos,TOR,50.58,14.58,119.073,0,0.6494,458.0999999999999,470,621244
27572,Carmen Mlodzinski,PIT,61.34,11.34,108.564,0,4.3582,457.8,466,669387
29608,Joe Boyle,TBR,34.96,12.96,90.9629,0,0.6682,399.2,374,671212
27867,Cade Smith,CLE,70,0,70,29.937,3.2908,551.9,522,671922
11423,Jose Quintana,COL,25.92,25.92,147.773,0,0,376.30000000000007,460,500779
22210,Jeremiah Estrada,SDP,70,0,70,0,14.9333,432.8,397,669093
10233,Aroldis Chapman,BOS,62,0,62,31.078,1.9343,513,477,547973
