team_id,team_name,roster,roster_max,base_cap,loans_in,loans_out,salary,penalties
8965,Twin Pines 🌲🌲,41,41,400,130,77,396,46
8907,Rock the Casasbah,43,43,400,233,0,573,42
8932,Sweet Spot,43,43,400,57,0,429,21
8955,Barreled Souls,44,44,400,0,0,340,35
8967,Bloom's Onions,41,41,400,0,0,353,30
8938,Peel A Section,42,41,400,120,109,361,42
8951,The Northsiders,42,42,400,52,113,255,30
8918,Chin Music Choir,43,43,400,0,145,182,63
8921,Iron,47,47,400,0,4,325,57
8906,Providence Grays,47,47,400,0,0,351,46
8949,Knowznothin,41,42,400,18,82,288,22
8957,Seiya Prayer For My Team,44,44,400,0,80,284,2
