playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
19755,Shohei Ohtani,LAD,Util/SP,SP,31,1710.6,1128.2,115,,71.0,44.0,8,81.0,34.0,1.6,-80.0,Twin Pines 🌲🌲
15640,Aaron Judge,NYY,OF,OF,34,1130.1,658.3,68,,66.0,2.0,0,68.0,0.0,0.0,-35.0,Peel A Section
22267,Tarik Skubal,LAD,SP,SP,29,1153.6,585.1,60,,44.0,16.0,4,50.0,10.0,0.0,-38.0,Sweet Spot
18401,Ronald Acuña Jr.,ATL,OF,OF,28,1045.7,573.9,59,,61.0,-2.0,0,63.0,-4.0,0.0,-29.0,Rock the Casasbah
20123,Juan Soto,NYM,OF,OF,27,1038.2,566.4,58,,61.0,-3.0,0,63.0,-5.0,0.0,-28.0,Twin Pines 🌲🌲
33677,Paul Skenes,PIT,SP,SP,24,1100.4,533.2,55,,41.0,14.0,3,46.0,9.0,0.0,-35.0,Rock the Casasbah
27463,Garrett Crochet,BOS,SP,SP,27,1093.7,526.7,54,,20.0,34.0,8,30.0,24.0,7.2,-44.0,Sweet Spot
19709,Fernando Tatis Jr.,SDP,2B/OF,OF,27,913.3,441.5,46,,48.0,-2.0,0,50.0,-4.0,0.0,-22.0,Bloom's Onions
19556,Yordan Alvarez,HOU,OF,OF,29,918.3,446.5,46,,52.0,-6.0,0,54.0,-8.0,0.0,-20.0,Sweet Spot
19611,Vladimir Guerrero Jr.,TOR,1B,1B,27,1007.7,437.7,45,,42.0,3.0,1,45.0,0.0,0.0,-24.0,Rock the Casasbah
25878,Corbin Carroll,ARI,OF,OF,25,888.4,416.6,43,,31.0,12.0,3,36.0,7.0,3.7,-28.0,Peel A Section
16478,Kyle Schwarber,PHI,1B/OF,OF,33,885.2,413.4,43,,35.0,8.0,1,38.0,5.0,0.0,-26.0,Twin Pines 🌲🌲
20778,Cristopher Sánchez,PHI,SP,SP,29,976.0,411.9,43,,15.0,28.0,5,22.0,21.0,6.8,-36.0,Twin Pines 🌲🌲
17995,Logan Webb,SFG,SP,SP,29,974.1,410.1,42,,34.0,8.0,2,38.0,4.0,0.0,-25.0,Sweet Spot
25764,Bobby Witt Jr.,KCR,SS,SS,26,952.8,391.8,41,,56.0,-15.0,0,58.0,-17.0,0.0,-13.0,Bloom's Onions
26289,Gunnar Henderson,BAL,SS,SS,25,952.6,391.6,41,,43.0,-2.0,0,45.0,-4.0,0.0,-20.0,Twin Pines 🌲🌲
11579,Bryce Harper,PHI,1B/OF,OF,33,871.0,399.2,41,,28.0,13.0,3,33.0,8.0,0.0,-27.0,Rock the Casasbah
23697,Julio Rodríguez,SEA,OF,OF,25,857.0,385.2,40,,45.0,-5.0,0,47.0,-7.0,0.0,-18.0,Iron 
18345,Kyle Tucker,LAD,OF,OF,29,837.6,365.8,38,,47.0,-9.0,0,49.0,-11.0,0.0,-15.0,Knowznothin
29518,James Wood,WSN,OF,OF,23,825.3,353.5,37,,20.0,17.0,3,25.0,12.0,7.4,-27.0,The Northsiders
10603,Chris Sale,ATL,SP,SP,37,918.2,355.6,37,,25.0,12.0,3,30.0,7.0,0.0,-25.0,Providence Grays
