team,players,roster_max,cap,used,penalties,cap_space,open_spots,projected_value,surplus
Twin Pines 🌲🌲,41,41,453,442,46,11,0,547,153
The Northsiders,42,42,339,285,30,54,0,362,118
Sweet Spot,43,43,457,450,21,7,0,525,102
Providence Grays,47,47,400,397,46,3,0,433,92
Bloom's Onions,41,41,400,383,30,17,0,410,73
Peel A Section,42,41,411,403,42,8,-1,393,46
Rock the Casasbah,43,43,633,615,42,18,0,596,21
Iron,47,47,396,382,57,14,0,264,-4
Chin Music Choir,43,43,255,245,63,10,0,148,-14
Knowznothin,41,42,336,310,22,26,1,212,-49
Seiya Prayer For My Team,44,44,320,286,2,34,0,191,-55
Barreled Souls,44,44,400,375,35,25,0,260,-56
